教室名,室名,面積,座席数
全学講義棟１号館,201講義室,88㎡,61.0
全学講義棟１号館,202講義室,88㎡,61.0
全学講義棟１号館,203講義室,117㎡,129.0
全学講義棟１号館,204講義室,59㎡,41.0
全学講義棟１号館,205講義室,154㎡,162.0
全学講義棟１号館,206講義室,232㎡,261.0
全学講義棟１号館,207講義室,234㎡,261.0
全学講義棟１号館,302講義室,118㎡,129.0
全学講義棟１号館,303講義室,59㎡,41.0
全学講義棟１号館,304講義室,154㎡,162.0
全学講義棟１号館,305講義室,77㎡,46.0
全学講義棟１号館,401講義室,176㎡,181.0
全学講義棟１号館,402講義室,154㎡,162.0
全学講義棟１号館,403講義室,154㎡,162.0
全学講義棟２号館,101講義室,77㎡,32.0
全学講義棟２号館,102講義室,77㎡,60.0
全学講義棟２号館,103講義室,80㎡,35.0
全学講義棟２号館,201講義室,77㎡,32.0
全学講義棟２号館,202講義室,77㎡,60.0
全学講義棟２号館,203講義室,80㎡,35.0
全学講義棟２号館,301講義室,116㎡,104.0
全学講義棟２号館,302講義室,118㎡,104.0
全学講義棟２号館,401講義室,116㎡,104.0
全学講義棟２号館,402講義室,118㎡,104.0
全学講義棟２号館,501講義室,116㎡,96.0
全学講義棟２号館,502講義室,118㎡,96.0
全学講義棟３号館,101講義室,189㎡,162.0
全学講義棟３号館,201講義室,51㎡,42.0
全学講義棟３号館,202講義室,51㎡,42.0
全学講義棟３号館,203講義室,51㎡,42.0
教養学部棟,21番教室,51㎡,40.0
教養学部棟,22番教室,103㎡,89.0
教養学部棟,23番教室,51㎡,40.0
教養学部棟,24番教室,52㎡,38.0
教養学部棟,201演習室,33㎡,24.0
教養学部棟,31番教室,103㎡,86.0
教養学部棟,32番教室,51㎡,35.0
教養学部棟,33番教室,51㎡,38.0
教養学部棟,34番教室,51㎡,39.0
教養学部棟,35番教室,52㎡,38.0
教養学部棟,36番教室,33㎡,23.0
教養学部棟,37番教室,33㎡,23.0
教養学部棟,38番教室,33㎡,23.0
教養学部棟,301演習室,27㎡,18.0
教養学部棟,302演習室,26㎡,18.0
教養学部棟,303演習室,26㎡,18.0
教養学部棟,304演習室,26㎡,18.0
教養学部棟,小会議室１,27㎡,14.0
教養学部棟,小会議室２,26㎡,14.0
教育学部Ａ棟,111講義室,51㎡,38.0
教育学部Ａ棟,112講義室,77㎡,60.0
教育学部Ａ棟,113プロジェクト室,77㎡,60.0
教育学部Ａ棟,114講義室,152㎡,170.0
教育学部Ａ棟,201セミナー室,56㎡,51.0
教育学部Ａ棟,203セミナー室,61㎡,48.0
教育学部Ａ棟,210講義室,105㎡,92.0
教育学部Ａ棟,211講義室,51㎡,40.0
教育学部Ａ棟,212講義室,77㎡,68.0
教育学部Ａ棟,213講義室,77㎡,68.0
教育学部Ａ棟,214講義室,103㎡,90.0
教育学部Ａ棟,324講義室,111㎡,80.0
教育学部Ａ棟,325講義室,114㎡,79.0
教育学部Ａ棟,426講義室,74㎡,60.0
教育学部Ａ棟,427講義室,77㎡,60.0
教育学部Ｃ棟,C1講義室,269㎡,251.0
経済学部Ａ棟,301演習室,36㎡,18.0
経済学部Ａ棟,302演習室,37㎡,18.0
経済学部Ａ棟,303講義室,93㎡,93.0
経済学部Ａ棟,304講義室,100㎡,93.0
経済学部Ａ棟,401演習室,36㎡,18.0
経済学部Ａ棟,402演習室,37㎡,18.0
経済学部Ａ棟,403演習室,23㎡,16.0
経済学部Ａ棟,404演習室,24㎡,16.0
経済学部Ａ棟,405講義室,131㎡,140.0
経済学部Ａ棟,406演習室,24㎡,16.0
経済学部Ａ棟,407演習室,23㎡,16.0
経済学部Ａ棟,501演習室,36㎡,18.0
経済学部Ａ棟,503演習室,24㎡,16.0
経済学部Ａ棟,504講義室,182㎡,188.0
経済学部Ａ棟,第１会議室,100㎡,100.0
経済学部Ｂ棟,201講義室,154㎡,176.0
経済学部Ｂ棟,301講義室,77㎡,75.0
経済学部Ｂ棟,302講義室,42㎡,36.0
経済学部Ｂ棟,303講義室,57㎡,42.0
理学部講義実験棟,1番教室,131㎡,141.0
理学部講義実験棟,2番教室,65㎡,63.0
理学部講義実験棟,3番教室,65㎡,63.0
理学部講義実験棟,4番教室,65㎡,63.0
工学部講義棟,50番講義室,79㎡,88.0
工学部講義棟,51番講義室,75㎡,72.0
工学部講義棟,52番講義室,77㎡,88.0
工学部講義棟,演習室１,35㎡,18.0
工学部講義棟,演習室２,33㎡,18.0
工学部講義棟,53番講義室,79㎡,88.0
工学部講義棟,演習室３,35㎡,18.0
工学部講義棟,演習室４,33㎡,18.0
工学部講義棟,54番講義室,141㎡,123.0
工学部講義棟,55番講義室,145㎡,165.0
工学部講義棟,56番講義室,141㎡,123.0
総合研究棟,シアター教室,186㎡,146.0
総合研究棟,11番講義室,186㎡,143.0
総合研究棟,12番講義室,180㎡,154.0
総合研究棟,セミナー室５,42㎡,36.0
総合研究棟,セミナー室６,42㎡,36.0
総合研究棟,セミナー室７,42㎡,36.0
総合研究棟,セミナー室８,90㎡,72.0
