講義名,開講期間,曜日・時限,講義室,URL
初等社会科概説　第1ターム、小（社・音・図・体）・副2年以上,第1,月1,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12021_ja_JP.html
経済原論　第１ターム（2023年度以前入学者：マルクス経済学）,第1,月1,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02123_ja_JP.html
特殊講義「数理統計特講」　第１ターム,第1,月1,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A13010_ja_JP.html
科学技術英語　月１・水１の週２回授業,第1,月1,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T66210_ja_JP.html
水圏防災減災工学　月１・水１の週２回授業,第1,月1,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76250_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S01　第1ターム,第1,月1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12101_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S02　第1ターム,第1,月1,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12102_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S03　第1ターム,第1,月1,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12103_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S04　第1ターム,第1,月1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12104_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S05　第1ターム,第1,月1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12105_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S06+再履生　第1ターム,第1,月1,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12106_ja_JP.html
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　月１・水１,第1,月1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11401_ja_JP.html
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　月１・水１,第1,月1,ERC（英語なんでも相談室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11501_ja_JP.html
日本語Ⅰa(作文),第1,月1,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28115_ja_JP.html
芸術概説　第１ターム 月１・水１,第1,月1,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ102111_ja_JP.html
