講義名,開講期間,曜日・時限,講義室,URL,講義室（改良）
初等社会科概説　第1ターム、小（社・音・図・体）・副2年以上,第1,月1,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12021_ja_JP.html,工-セミナー室5
経済原論　第１ターム（2023年度以前入学者：マルクス経済学）,第1,月1,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02123_ja_JP.html,"工-セミナー室2, 工-演習室2, 工-56"
特殊講義「数理統計特講」　第１ターム,第1,月1,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A13010_ja_JP.html,工-56
科学技術英語　月１・水１の週２回授業,第1,月1,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T66210_ja_JP.html,全学講義棟 2-401
水圏防災減災工学　月１・水１の週２回授業,第1,月1,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76250_ja_JP.html,全学講義棟 2-402
英語Ⅱ(Academic English Skills 2a)　AES 教育S01　第1ターム,第1,月1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12101_ja_JP.html,全学講義棟 2-201
英語Ⅱ(Academic English Skills 2a)　AES 教育S02　第1ターム,第1,月1,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12102_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
英語Ⅱ(Academic English Skills 2a)　AES 教育S03　第1ターム,第1,月1,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12103_ja_JP.html,全学講義棟 1-403
英語Ⅱ(Academic English Skills 2a)　AES 教育S04　第1ターム,第1,月1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12104_ja_JP.html,全学講義棟 2-102
英語Ⅱ(Academic English Skills 2a)　AES 教育S05　第1ターム,第1,月1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12105_ja_JP.html,全学講義棟 2-103
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　月１・水１,第1,月1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11401_ja_JP.html,全学講義棟 1-401
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　月１・水１,第1,月1,ERC（英語なんでも相談室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11501_ja_JP.html,全学講義棟 1-201
日本語Ⅰa(作文),第1,月1,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28115_ja_JP.html,工-51
芸術概説　第１ターム 月１・水１,第1,月1,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ102111_ja_JP.html,全学講義棟 3-202
日本文学・文化概説　第１ターム 月１・水１,第1,月1,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ106011_ja_JP.html,全学講義棟 1-301
市民と憲法　第１ターム 月１・水１,第1,月1,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ202112_ja_JP.html,全学講義棟 1-304
工学と社会（環境社会デザイン系）　第１ターム 月１・水１,第1,月1,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302511_ja_JP.html,全学講義棟 1-207
健康科学　第１ターム 月１・水１,第1,月1,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ305011_ja_JP.html,全学講義棟 1-206
日本語C(文法) a,第1,月1,教養学部-35,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200105_ja_JP.html,工-50
日本語D(文法) a,第1,月1,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200108_ja_JP.html,全学講義棟 2-301
日本語A(総合) a,第1,月1,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200101_ja_JP.html,全学講義棟 2-203
教科指導の課題探求　共通科目、第１ターム,第1,月1,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10025_ja_JP.html,全学講義棟 3-203
教育経営の課題探求　共通科目、第１ターム,第1,月1,教育Ａ４２７講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10045_ja_JP.html,"工-21, 工-22"
構造物のための数値解析(E),第1,月1,工-52,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50040_ja_JP.html,全学講義棟 2-502
初等理科概説　第1ターム、小（心・理）・副2年以上,第1,月2,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y16010_ja_JP.html,工-53
幼児と人間関係　第1ターム、副2年以上(23年入学者～),第1,月2,教育Ａ１１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38320_ja_JP.html,工-21
経済原論　第１ターム（2023年度以前入学者：マルクス経済学）,第1,月2,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02123_ja_JP.html,"理-2番講義室, 理-3番講義室"
特殊講義「数理統計特講」　第１ターム,第1,月2,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A13010_ja_JP.html,理-2番講義室
微分積分学基礎Ⅰ　月２・水２の週２回授業,第1,月2,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_RT1001-1_ja_JP.html,全学講義棟 2-102
熱力学Ⅰ　月２・水２の週２回授業,第1,月2,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71050_ja_JP.html,"工-21, 工-22"
